progress_id,student_id,lesson_id,completion_percentage,last_accessed
1,1,85,50.0,2025-01-06
2,1,86,100.0,2025-01-03
3,1,87,50.0,2024-12-27
4,1,88,50.0,2024-12-25
5,1,89,50.0,2024-12-30
6,1,90,50.0,2024-12-30
7,2,85,100.0,2024-01-07
8,2,86,100.0,2024-01-07
9,3,23,100.0,2024-09-13
10,3,24,100.0,2024-09-12
11,5,94,100.0,2024-04-02
12,5,95,50.0,2024-03-31
13,5,96,50.0,2024-03-31
14,5,97,50.0,2024-03-21
15,5,98,100.0,2024-03-30
16,5,99,100.0,2024-03-20
17,5,11,100.0,2024-03-14
18,5,12,100.0,2024-03-26
19,5,13,100.0,2024-03-19
20,5,14,100.0,2024-03-19
21,5,15,50.0,2024-03-26
22,5,16,100.0,2024-03-13
23,5,17,100.0,2024-03-25
24,5,53,50.0,2024-03-09
25,5,54,100.0,2024-03-08
26,5,55,100.0,2024-03-07
27,5,56,50.0,2024-03-13
28,5,57,50.0,2024-03-12
29,5,58,50.0,2024-03-17
30,6,94,100.0,2024-06-27
31,6,95,100.0,2024-06-27
32,8,85,100.0,2026-04-27
33,10,42,50.0,2025-09-19
34,10,43,50.0,2025-09-13
35,10,44,100.0,2025-09-08
36,10,45,100.0,2025-09-14
37,10,46,50.0,2025-09-12
38,10,47,100.0,2025-09-13
39,10,48,50.0,2025-09-15
40,10,49,100.0,2025-09-11
41,10,50,100.0,2025-09-07
42,10,51,100.0,2025-09-13
43,10,23,50.0,2025-08-12
44,10,24,50.0,2025-08-13
45,10,25,50.0,2025-08-22
46,10,26,100.0,2025-08-23
47,10,27,50.0,2025-08-22
48,10,103,100.0,2025-08-12
49,10,104,100.0,2025-08-11
50,11,11,100.0,2025-01-16
51,11,12,100.0,2025-01-16
52,13,31,100.0,2025-07-28
53,13,32,100.0,2025-07-29
54,15,111,100.0,2026-02-13
55,15,112,100.0,2026-02-13
56,15,94,100.0,2026-02-22
57,16,94,50.0,2024-06-15
58,16,95,100.0,2024-06-16
59,16,96,50.0,2024-06-05
60,16,31,100.0,2024-06-22
61,16,32,100.0,2024-06-20
62,16,111,100.0,2024-06-10
63,16,112,100.0,2024-06-11
64,18,31,100.0,2024-05-20
65,18,32,100.0,2024-05-16
66,18,33,100.0,2024-05-23
67,18,34,100.0,2024-05-09
68,18,35,100.0,2024-05-15
69,18,36,100.0,2024-05-19
70,18,37,100.0,2024-05-16
71,18,38,100.0,2024-05-12
72,18,39,100.0,2024-04-29
73,18,40,100.0,2024-05-01
74,18,41,100.0,2024-05-05
75,19,111,100.0,2024-09-09
76,21,31,100.0,2024-09-13
77,23,1,100.0,2025-11-15
78,23,2,100.0,2025-11-15
79,24,11,100.0,2025-04-18
80,24,12,100.0,2025-04-20
81,24,53,100.0,2025-04-23
82,25,85,100.0,2024-03-22
83,25,86,50.0,2024-03-20
84,25,87,50.0,2024-03-28
85,25,88,100.0,2024-03-19
86,25,89,100.0,2024-03-27
87,25,90,50.0,2024-03-23
88,25,91,100.0,2024-03-25
89,26,31,100.0,2025-05-23
90,26,32,100.0,2025-05-23
91,26,74,100.0,2025-07-07
92,26,75,100.0,2025-06-25
93,26,76,100.0,2025-07-04
94,26,77,100.0,2025-07-05
95,26,78,100.0,2025-07-10
96,26,79,100.0,2025-06-24
97,26,80,100.0,2025-06-27
98,26,81,100.0,2025-06-30
99,26,82,100.0,2025-07-06
100,26,83,100.0,2025-07-03
101,26,84,100.0,2025-06-26
102,26,103,100.0,2025-05-21
103,26,104,100.0,2025-05-20
104,27,111,50.0,2024-03-01
105,27,112,50.0,2024-02-23
106,27,113,100.0,2024-02-26
107,28,31,100.0,2024-07-27
108,29,42,50.0,2025-12-06
109,29,43,100.0,2025-12-07
110,29,44,50.0,2025-12-04
111,29,111,100.0,2025-11-15
112,29,112,100.0,2025-11-16
113,31,31,100.0,2024-06-20
114,31,32,50.0,2024-06-19
115,31,33,100.0,2024-06-15
116,31,94,100.0,2024-07-03
117,31,111,50.0,2024-07-12
118,31,112,50.0,2024-06-30
119,31,113,50.0,2024-07-15
120,31,114,50.0,2024-07-11
121,31,115,50.0,2024-07-11
122,31,116,100.0,2024-07-06
123,31,117,50.0,2024-07-04
124,31,118,50.0,2024-07-04
125,33,111,100.0,2026-02-12
126,34,103,100.0,2024-12-12
127,34,104,100.0,2024-12-08
128,34,105,100.0,2024-12-08
129,34,23,100.0,2024-11-08
130,34,24,100.0,2024-11-07
131,34,25,100.0,2024-11-18
132,34,26,50.0,2024-11-07
133,34,27,100.0,2024-11-07
134,34,28,50.0,2024-11-18
135,35,85,100.0,2025-08-28
136,35,86,100.0,2025-09-08
137,35,87,100.0,2025-09-07
138,35,88,100.0,2025-09-01
139,35,89,100.0,2025-09-12
140,35,90,100.0,2025-09-10
141,35,91,100.0,2025-09-13
142,35,92,100.0,2025-08-29
143,35,93,100.0,2025-09-10
144,36,74,100.0,2026-01-14
145,37,11,100.0,2024-12-20
146,37,12,100.0,2024-12-20
147,38,85,100.0,2026-03-04
148,38,86,100.0,2026-03-04
149,39,85,100.0,2024-03-02
150,40,66,50.0,2025-01-24
151,40,67,50.0,2025-02-02
152,40,68,100.0,2025-01-28
153,40,69,100.0,2025-01-28
154,40,11,100.0,2025-02-23
155,41,111,100.0,2024-08-10
156,42,1,50.0,2026-03-28
157,42,2,50.0,2026-03-31
158,42,3,50.0,2026-03-18
159,42,4,50.0,2026-03-17
160,42,5,100.0,2026-03-28
161,42,6,100.0,2026-03-24
162,42,7,50.0,2026-03-23
163,42,8,50.0,2026-03-31
164,43,74,100.0,2024-04-19
165,43,75,100.0,2024-04-20
166,43,76,50.0,2024-04-18
167,43,77,50.0,2024-04-28
168,43,78,50.0,2024-04-28
169,43,79,50.0,2024-04-25
170,44,11,100.0,2025-10-19
171,46,42,100.0,2025-05-29
172,46,43,100.0,2025-05-30
173,47,53,100.0,2025-08-31
174,47,54,100.0,2025-08-31
175,48,111,50.0,2025-05-10
176,48,112,100.0,2025-04-29
177,48,113,50.0,2025-05-07
178,48,114,100.0,2025-05-10
179,48,115,100.0,2025-04-27
180,48,116,50.0,2025-05-09
181,48,117,50.0,2025-05-07
182,48,118,100.0,2025-05-12
183,49,111,100.0,2024-07-21
184,52,74,100.0,2025-03-23
185,52,75,100.0,2025-03-24
186,53,74,100.0,2025-08-08
187,53,75,100.0,2025-08-18
188,53,76,100.0,2025-09-12
189,53,77,100.0,2025-09-10
190,53,78,100.0,2025-08-03
191,53,79,100.0,2025-08-07
192,53,80,100.0,2025-09-13
193,53,81,100.0,2025-09-09
194,53,82,100.0,2025-08-30
195,53,83,100.0,2025-09-14
196,53,84,100.0,2025-09-06
197,56,103,100.0,2025-01-22
198,56,104,100.0,2025-01-23
199,56,23,100.0,2025-01-01
200,56,24,100.0,2025-01-01
201,57,1,100.0,2025-11-25
202,58,53,100.0,2025-02-13
203,58,54,100.0,2025-02-12
204,59,31,100.0,2024-05-25
205,59,32,100.0,2024-05-25
206,60,53,100.0,2025-07-02
207,60,54,100.0,2025-07-09
