attempt_id,student_id,quiz_id,score,attempt_date
1,2,17,60.0,2024-01-10
2,3,5,46.0,2024-09-15
3,6,19,43.0,2024-06-28
4,8,17,51.0,2026-04-28
5,10,21,53.0,2025-08-13
6,13,7,48.0,2025-07-31
7,15,23,54.0,2026-02-15
8,16,7,40.0,2024-06-23
9,18,7,75.0,2024-05-23
10,18,8,80.0,2024-05-23
11,21,7,40.0,2024-09-16
12,24,3,42.0,2025-04-21
13,24,11,58.0,2025-04-24
14,26,7,55.0,2025-05-25
15,26,15,86.0,2025-07-10
16,26,16,86.0,2025-07-10
17,29,23,41.0,2025-11-17
18,33,23,63.0,2026-02-13
19,35,17,76.0,2025-09-13
20,35,18,84.0,2025-09-13
21,36,15,55.0,2026-01-15
22,40,3,47.0,2025-02-24
23,41,23,45.0,2024-08-11
24,44,3,50.0,2025-10-20
25,46,9,60.0,2025-06-01
26,47,11,60.0,2025-09-02
27,49,23,60.0,2024-07-23
28,52,15,56.0,2025-03-26
29,53,15,90.0,2025-09-18
30,53,16,79.0,2025-09-18
31,56,21,49.0,2025-01-24
32,57,1,59.0,2025-11-28
33,58,11,35.0,2025-02-14
34,60,11,81.0,2025-08-14
35,60,12,78.0,2025-08-14
36,60,17,98.0,2025-07-02
37,60,18,72.0,2025-07-02
38,60,13,49.0,2025-07-01
39,65,7,43.0,2024-06-11
40,69,1,90.0,2024-03-07
41,69,2,91.0,2024-03-07
42,71,23,58.0,2024-08-15
43,77,21,42.0,2024-09-24
44,77,5,99.0,2024-10-15
45,77,6,84.0,2024-10-15
46,80,19,55.0,2024-07-14
47,81,7,60.0,2024-06-03
48,82,13,52.0,2025-08-27
49,84,13,52.0,2025-05-25
50,85,15,41.0,2026-04-08
51,86,7,41.0,2024-04-26
52,91,23,77.0,2024-07-24
53,91,24,98.0,2024-07-24
54,95,7,56.0,2024-02-24
55,95,17,39.0,2024-02-25
56,96,23,78.0,2024-08-13
57,96,24,80.0,2024-08-13
58,98,1,44.0,2026-04-19
59,102,3,44.0,2025-03-20
60,111,17,40.0,2025-06-07
61,113,7,43.0,2024-05-05
62,114,21,35.0,2024-04-14
63,118,23,40.0,2024-11-02
64,119,9,53.0,2025-07-20
65,121,11,81.0,2025-01-31
66,121,12,93.0,2025-01-31
67,131,13,52.0,2025-05-29
68,136,21,39.0,2024-09-15
69,138,13,100.0,2026-05-18
70,138,14,87.0,2026-05-18
71,141,19,64.0,2025-11-21
72,143,13,49.0,2024-03-03
73,144,17,57.0,2025-05-25
74,144,21,52.0,2025-04-24
75,149,7,63.0,2025-01-07
76,153,23,99.0,2025-06-16
77,153,24,90.0,2025-06-16
78,166,23,59.0,2024-06-18
79,168,7,41.0,2024-12-14
80,174,17,99.0,2024-05-06
81,174,18,98.0,2024-05-06
82,176,7,85.0,2026-07-04
83,176,8,96.0,2026-07-04
84,178,11,45.0,2024-02-09
85,179,19,99.0,2025-06-25
86,179,20,82.0,2025-06-25
87,182,19,46.0,2026-02-28
88,182,9,58.0,2026-02-20
89,182,1,57.0,2026-03-01
90,187,5,93.0,2025-11-26
91,187,6,74.0,2025-11-26
92,187,19,48.0,2025-10-21
93,190,23,38.0,2024-02-17
94,190,1,53.0,2024-02-01
95,191,21,52.0,2025-07-31
96,191,7,75.0,2025-09-14
97,191,8,94.0,2025-09-14
98,193,13,62.0,2025-06-23
99,193,9,95.0,2025-08-04
100,193,10,97.0,2025-08-04
101,194,11,96.0,2025-09-09
102,194,12,98.0,2025-09-09
103,196,17,97.0,2026-06-11
104,196,18,75.0,2026-06-11
105,201,1,81.0,2025-03-08
106,201,2,77.0,2025-03-08
107,203,1,54.0,2025-01-22
108,205,21,35.0,2025-12-16
109,208,1,84.0,2026-02-25
110,208,2,98.0,2026-02-25
111,211,21,65.0,2024-03-03
112,213,9,57.0,2025-02-12
113,213,5,95.0,2025-03-17
114,213,6,95.0,2025-03-17
115,215,7,94.0,2024-10-15
116,215,8,84.0,2024-10-15
117,219,21,40.0,2024-09-24
118,220,1,47.0,2024-09-21
119,226,11,35.0,2025-12-20
120,228,13,38.0,2025-05-20
121,229,21,51.0,2024-11-08
122,234,17,61.0,2024-03-02
123,241,3,41.0,2025-04-07
124,244,19,89.0,2024-08-21
125,244,20,88.0,2024-08-21
126,244,7,49.0,2024-08-03
127,253,3,38.0,2026-01-21
128,255,21,91.0,2025-06-06
129,255,22,77.0,2025-06-06
130,261,21,59.0,2025-03-05
